time,tem,humi,pm25
2022-12-15 18:30:00,22.42,42.85,17.92
2022-12-15 18:45:00,22.24,43.1,19.91
2022-12-15 19:00:00,22.16,43.33,18.08
2022-12-15 19:15:00,22.03,43.16,23.29
2022-12-15 19:45:00,21.87,43.35,22.1
2022-12-15 20:00:00,21.77,43.96,30.56
2022-12-15 20:15:00,21.85,44.86,24.27
2022-12-15 20:30:00,21.76,45.5,15.28
2022-12-15 20:45:00,21.73,46.04,22.34
2022-12-15 21:00:00,21.64,46.6,24.7
2022-12-15 21:15:00,21.3,48.05,32.46
2022-12-15 21:30:00,21.03,48.98,22.0
2022-12-15 22:15:00,21.5,51.91,18.51
2022-12-15 22:30:00,21.57,51.72,26.73
2022-12-15 22:45:00,21.64,51.92,19.56
2022-12-15 23:00:00,21.67,51.57,16.53
2022-12-15 23:15:00,21.71,51.0,19.74
2022-12-15 23:30:00,21.74,50.65,19.89
2022-12-15 23:45:00,21.71,50.63,19.41
2022-12-16 00:00:00,21.72,50.41,36.62
2022-12-16 00:30:00,21.89,50.41,21.59
2022-12-16 00:45:00,21.86,50.46,15.42
2022-12-16 01:00:00,21.8,50.5,19.05
2022-12-16 01:15:00,21.7,50.47,18.9
2022-12-16 01:30:00,21.65,50.52,15.44
2022-12-16 01:45:00,21.58,50.45,24.21
2022-12-16 02:00:00,21.51,50.48,25.03
2022-12-16 02:15:00,21.52,50.46,22.63
2022-12-16 03:00:00,21.41,50.39,18.0
2022-12-16 03:15:00,21.4,50.19,17.78
2022-12-16 03:30:00,21.39,50.03,14.35
2022-12-16 03:45:00,21.41,49.95,18.08
2022-12-16 04:00:00,21.4,49.73,16.24
2022-12-16 04:15:00,21.35,49.71,16.63
2022-12-16 04:30:00,21.31,49.75,13.53
2022-12-16 05:15:00,21.33,50.13,39.23
2022-12-16 05:30:00,21.31,50.46,17.9
2022-12-16 05:45:00,21.25,50.77,21.59
2022-12-16 06:00:00,21.12,50.29,12.18
2022-12-16 06:15:00,21.05,49.42,14.85
2022-12-16 06:30:00,21.06,48.94,18.57
2022-12-16 06:45:00,21.08,48.04,29.56
2022-12-16 07:00:00,20.45,46.88,24.52
2022-12-16 07:30:00,19.99,48.99,37.61
2022-12-16 07:45:00,20.17,49.15,34.62
2022-12-16 08:30:00,20.28,50.13,44.45
2022-12-16 08:45:00,19.37,51.93,49.2
2022-12-16 09:00:00,19.44,52.75,40.39
2022-12-16 09:15:00,19.17,53.56,52.15
2022-12-16 09:30:00,19.1,51.91,51.66
2022-12-16 09:45:00,19.47,50.27,46.35
2022-12-16 10:00:00,19.68,47.3,30.91
2022-12-16 10:15:00,19.88,50.69,36.36
2022-12-16 10:30:00,20.43,48.51,33.9
2022-12-16 10:45:00,21.41,46.87,32.92
2022-12-16 11:00:00,21.46,45.42,35.0
2022-12-16 11:15:00,21.92,45.2,40.04
2022-12-16 11:30:00,22.8,40.34,32.42
2022-12-16 12:00:00,23.61,37.49,38.16
2022-12-16 12:15:00,23.79,36.52,35.11
2022-12-16 12:30:00,24.07,37.06,26.69
2022-12-16 12:45:00,24.19,37.17,47.38
2022-12-16 13:00:00,24.42,37.23,33.53
2022-12-16 13:15:00,22.88,40.99,21.95
2022-12-16 13:30:00,21.94,42.54,20.91
2022-12-16 13:45:00,21.77,43.34,34.41
2022-12-16 14:15:00,21.26,46.82,20.69
2022-12-16 14:30:00,21.52,45.85,15.48
2022-12-16 14:45:00,21.59,45.7,22.06
2022-12-16 15:00:00,21.64,45.68,25.21
2022-12-16 15:15:00,21.64,45.7,18.33
2022-12-16 15:45:00,21.81,45.39,28.18
2022-12-16 16:00:00,21.8,45.35,20.89
2022-12-16 16:15:00,21.87,45.35,20.89
2022-12-16 16:30:00,21.87,45.35,22.22
2022-12-16 16:45:00,21.92,45.31,19.58
2022-12-16 17:00:00,21.91,45.36,25.66
2022-12-16 17:15:00,21.98,45.78,26.26
2022-12-16 17:30:00,21.97,45.99,21.69
2022-12-16 18:15:00,22.11,47.24,39.33
2022-12-16 18:30:00,22.12,47.64,32.49
2022-12-16 18:45:00,22.08,47.87,37.28
2022-12-16 19:00:00,22.03,48.19,38.75
2022-12-16 19:15:00,22.0,48.53,31.42
2022-12-16 19:30:00,21.95,48.88,34.68
2022-12-16 19:45:00,21.97,48.95,40.8
2022-12-16 20:00:00,21.99,49.13,47.93
2022-12-16 20:30:00,21.99,49.38,42.3
2022-12-16 20:45:00,21.92,49.74,55.94
2022-12-16 21:00:00,21.9,50.12,59.96
2022-12-16 21:15:00,21.87,50.47,41.54
2022-12-16 21:30:00,21.83,50.66,44.06
2022-12-16 21:45:00,21.76,50.94,50.43
2022-12-16 22:00:00,21.76,50.65,51.09
2022-12-17 00:00:00,21.55,49.88,34.37
2022-12-17 00:15:00,21.84,50.13,39.0
2022-12-17 00:30:00,22.5,49.42,37.98
2022-12-17 00:45:00,22.59,48.95,32.87
2022-12-17 01:30:00,22.54,48.1,24.62
2022-12-17 01:45:00,22.56,47.75,25.01
2022-12-17 02:00:00,22.55,47.38,28.45
2022-12-17 02:15:00,22.48,46.84,22.57
2022-12-17 02:30:00,22.46,46.44,24.39
2022-12-17 02:45:00,22.41,46.02,26.83
2022-12-17 03:00:00,22.37,45.76,22.3
2022-12-17 03:15:00,22.34,45.16,29.58
2022-12-17 03:45:00,22.26,44.19,21.89
2022-12-17 04:00:00,22.21,43.73,22.77
2022-12-17 04:15:00,22.2,43.36,21.01
2022-12-17 04:30:00,22.19,42.99,19.45
2022-12-17 04:45:00,22.13,42.35,20.89
2022-12-17 05:00:00,22.13,42.06,22.63
2022-12-17 05:15:00,22.1,41.62,22.98
2022-12-17 05:30:00,22.09,41.25,22.41
2022-12-17 06:15:00,22.05,40.86,18.21
2022-12-17 06:30:00,22.07,40.76,21.52
2022-12-17 06:45:00,22.06,40.52,22.57
2022-12-17 07:00:00,22.04,40.31,25.99
2022-12-17 07:15:00,22.06,40.19,28.08
2022-12-17 07:30:00,22.01,39.98,24.74
2022-12-17 07:45:00,21.97,39.61,26.15
2022-12-17 08:00:00,21.96,39.32,26.07
2022-12-17 08:30:00,21.98,38.14,23.49
2022-12-17 08:45:00,21.92,37.64,28.06
2022-12-17 09:00:00,21.84,37.07,23.45
2022-12-17 09:15:00,21.83,36.45,17.33
2022-12-17 09:30:00,21.75,35.99,24.33
2022-12-17 09:45:00,21.33,32.63,21.52
2022-12-17 10:00:00,20.97,31.07,23.47
2022-12-17 10:15:00,20.93,30.16,14.29
2022-12-17 10:45:00,21.12,30.89,21.52
2022-12-17 11:00:00,21.18,29.61,18.84
2022-12-17 11:15:00,21.27,30.02,22.96
2022-12-17 11:30:00,21.39,30.04,22.71
2022-12-17 11:45:00,21.46,29.97,20.66
2022-12-17 12:00:00,21.5,31.63,21.01
2022-12-17 12:15:00,21.54,32.08,25.87
2022-12-17 12:30:00,21.62,32.39,16.91
2022-12-17 12:45:00,21.65,32.81,31.52
2022-12-17 13:15:00,21.63,31.02,23.68
2022-12-17 13:30:00,21.65,30.27,16.59
2022-12-17 13:45:00,22.82,31.59,7.98
2022-12-20 12:30:00,20.82,37.43,50.44
2022-12-20 12:45:00,20.23,37.30,52.90
2022-12-20 13:15:00,20.38,38.56,68.74
2022-12-20 13:30:00,20.31,38.96,61.68
2022-12-20 13:45:00,20.31,38.50,41.27
2022-12-20 14:15:00,20.60,38.79,48.52
2022-12-20 14:30:00,20.52,39.59,45.65
2022-12-20 14:45:00,20.54,39.81,64.92
2022-12-20 15:00:00,20.47,40.24,60.73
2022-12-20 15:15:00,20.45,40.85,55.77
2022-12-20 15:30:00,20.50,40.87,42.98
2022-12-20 15:45:00,20.57,41.20,47.37
2022-12-20 16:45:00,21.69,39.82,42.60
2022-12-20 17:00:00,21.19,40.32,49.66
2022-12-20 17:15:00,21.54,40.26,47.94
2022-12-20 17:30:00,21.93,39.17,56.34
2022-12-20 17:45:00,20.87,42.02,68.55
2022-12-20 18:00:00,20.67,41.73,45.08
2022-12-20 18:15:00,20.57,42.89,36.11
2022-12-20 18:30:00,20.31,43.11,134.94
2022-12-20 18:45:00,20.32,43.04,54.62
2022-12-20 19:00:00,20.71,42.43,50.23
2022-12-20 19:30:00,21.51,42.34,73.12
2022-12-20 19:45:00,21.32,41.62,53.14
2022-12-20 20:00:00,21.25,47.90,46.85
2022-12-20 20:15:00,21.08,45.32,41.48
2022-12-20 20:30:00,20.98,45.14,60.54
2022-12-20 20:45:00,20.91,44.85,61.83
2022-12-20 21:15:00,21.02,46.25,58.69
2022-12-20 21:45:00,21.14,47.32,74.60
2022-12-20 22:15:00,21.11,48.29,36.49
2022-12-20 22:30:00,21.10,48.70,45.00
2022-12-20 22:45:00,21.07,48.87,37.97
2022-12-20 23:00:00,21.03,49.14,50.55
2022-12-20 23:15:00,21.00,49.38,51.10
2022-12-20 23:30:00,20.99,49.37,29.83
2022-12-20 23:45:00,20.97,49.18,65.90
2022-12-21 00:00:00,20.94,48.59,44.81
2022-12-21 00:15:00,20.89,47.76,63.13
2022-12-21 00:30:00,21.08,47.27,52.58
2022-12-21 00:45:00,21.21,46.66,74.04
2022-12-21 01:00:00,21.03,46.82,52.77
2022-12-21 01:15:00,20.97,46.70,63.68
2022-12-21 01:30:00,20.89,46.25,53.69
2022-12-21 01:45:00,20.85,46.10,54.06
2022-12-21 02:00:00,20.82,45.91,48.51
2022-12-21 02:15:00,20.82,45.70,43.70
2022-12-21 02:30:00,20.77,45.21,52.21
2022-12-21 02:45:00,20.76,44.90,57.21
2022-12-21 03:00:00,20.79,44.81,44.63
2022-12-21 03:30:00,20.71,43.76,54.99
2022-12-21 04:00:00,20.67,42.51,49.81
2022-12-21 04:30:00,20.60,41.80,55.91
2022-12-21 04:45:00,20.59,41.89,43.15
2022-12-21 05:00:00,20.53,41.70,63.50
2022-12-21 05:15:00,20.54,41.54,54.80
2022-12-21 05:30:00,20.52,41.39,58.50
2022-12-21 05:45:00,20.50,41.10,68.68
2022-12-21 06:00:00,20.49,40.66,50.55
2022-12-21 06:15:00,20.47,40.22,30.01
2022-12-21 06:30:00,20.48,39.44,58.69
2022-12-21 06:45:00,20.28,37.50,60.91
2022-12-21 07:00:00,20.20,36.74,38.34
2022-12-21 07:15:00,20.16,36.07,46.48
2022-12-21 07:30:00,20.15,35.50,41.11
2022-12-21 07:45:00,20.15,35.18,49.07
2022-12-21 08:00:00,20.19,34.70,44.07
2022-12-21 08:15:00,20.35,36.15,39.08
2022-12-21 08:30:00,20.34,34.73,43.70
2022-12-21 08:45:00,20.40,34.49,44.81
2022-12-21 09:15:00,20.57,34.68,55.91
2022-12-21 09:45:00,20.68,34.08,52.95
2022-12-21 10:00:00,20.76,33.61,39.26
2022-12-21 10:15:00,20.81,33.58,60.35
2022-12-21 10:30:00,20.87,33.81,41.85
2022-12-21 10:45:00,20.99,33.89,54.06
2022-12-21 11:00:00,21.01,33.90,48.51
2022-12-21 11:15:00,21.06,33.93,40.74
2022-12-21 11:30:00,21.13,33.73,63.31
2022-12-21 11:45:00,21.16,34.05,48.70
2022-12-21 12:00:00,21.26,34.17,39.08
2022-12-21 12:15:00,21.32,34.32,52.95
2022-12-21 12:30:00,21.38,34.16,50.36
2022-12-21 12:45:00,21.40,34.47,50.36
2022-12-21 13:00:00,21.46,34.48,68.86
2022-12-21 13:15:00,21.48,35.43,48.51
2022-12-21 13:30:00,21.33,35.94,62.20
2022-12-21 13:45:00,21.30,36.18,39.45
2022-12-21 14:00:00,21.34,36.26,26.13
2022-12-21 14:15:00,21.33,36.46,45.37
2022-12-21 14:30:00,21.36,36.59,49.07
2022-12-21 14:45:00,21.38,36.75,42.96
2022-12-21 15:00:00,21.36,36.87,29.83
2022-12-21 15:30:00,21.35,37.43,48.51
2022-12-21 16:00:00,21.33,37.49,41.67
2022-12-21 16:30:00,21.33,37.30,47.77
2022-12-21 16:45:00,21.32,37.30,31.49
2022-12-21 17:00:00,21.34,37.36,31.12
2022-12-21 17:15:00,21.36,37.47,42.59
2022-12-21 17:30:00,21.37,37.86,29.27
2022-12-21 17:45:00,21.42,38.65,68.12
2022-12-21 18:00:00,21.53,39.36,37.97
2022-12-21 18:15:00,21.51,39.93,40.56
2022-12-21 18:30:00,21.67,39.84,56.47
2022-12-21 18:45:00,21.70,39.58,62.02
2022-12-21 19:00:00,21.69,39.89,53.14
2022-12-21 19:15:00,21.70,40.10,53.14
2022-12-21 19:30:00,21.69,40.41,40.74
2022-12-21 19:45:00,21.69,40.40,70.71
2022-12-21 20:00:00,21.67,40.00,54.43
2022-12-21 20:15:00,21.77,41.76,33.90
2022-12-21 20:30:00,21.80,40.87,50.92
2022-12-21 20:45:00,21.98,41.11,60.17
2022-12-21 21:15:00,21.79,41.08,57.58
2022-12-21 21:45:00,21.60,41.61,47.22
2022-12-21 22:00:00,21.57,41.63,57.39
2022-12-21 22:15:00,21.52,41.75,41.85
2022-12-21 22:30:00,21.57,42.70,78.85
2022-12-21 22:45:00,21.57,43.25,64.24
2022-12-21 23:00:00,21.52,43.90,52.21
2022-12-21 23:15:00,21.48,44.68,44.07
2022-12-21 23:30:00,21.44,44.76,67.38
2022-12-21 23:45:00,21.40,45.19,59.61
2022-12-22 00:00:00,21.30,45.21,57.95
2022-12-22 00:15:00,21.30,45.05,59.80
2022-12-22 00:30:00,21.25,45.27,38.71
2022-12-22 00:45:00,21.26,45.64,53.14
2022-12-22 01:00:00,21.13,45.78,57.76
2022-12-22 01:30:00,21.30,46.23,46.85
2022-12-22 02:00:00,21.32,46.11,48.14
2022-12-22 02:15:00,21.38,46.41,47.96
2022-12-22 02:30:00,21.40,46.31,55.91
2022-12-22 02:45:00,21.39,46.54,54.62
2022-12-22 03:00:00,21.37,46.44,62.39
2022-12-22 03:15:00,21.33,46.39,53.69
2022-12-22 03:30:00,21.34,46.62,68.12
2022-12-22 03:45:00,21.29,46.64,51.66
2022-12-22 04:00:00,21.27,46.68,61.83
2022-12-22 04:15:00,21.21,46.73,49.07
2022-12-22 04:30:00,21.16,46.76,47.40
2022-12-22 04:45:00,21.14,46.35,47.03
2022-12-22 05:00:00,21.09,47.26,60.72
2022-12-22 05:15:00,21.06,46.99,68.68
2022-12-22 05:45:00,21.02,47.26,54.80
2022-12-22 06:15:00,20.95,46.24,54.25
2022-12-22 06:45:00,20.87,46.10,45.55
2022-12-22 07:00:00,20.88,46.77,63.13
2022-12-22 07:15:00,20.87,46.95,64.98
2022-12-22 07:30:00,20.85,46.95,61.46
2022-12-22 07:45:00,20.83,47.23,59.06
2022-12-22 08:00:00,20.83,47.05,60.54
2022-12-22 08:15:00,20.83,47.20,44.07
2022-12-22 08:30:00,20.83,47.08,62.94
2022-12-22 08:45:00,20.83,46.91,49.44
2022-12-22 09:00:00,20.84,46.64,48.33
2022-12-22 09:15:00,20.87,46.97,57.95
2022-12-22 09:30:00,20.88,47.15,44.26
2022-12-22 10:00:00,20.95,47.54,51.47
2022-12-22 10:30:00,21.01,47.87,60.17
2022-12-22 10:45:00,21.06,47.75,52.77
2022-12-22 12:15:00,21.43,39.89,51.86
2022-12-22 12:30:00,21.47,39.54,55.35
2022-12-23 18:15:00,19.79,49.10,49.06
2022-12-23 18:30:00,19.68,48.34,48.30
2022-12-23 18:45:00,19.71,47.18,45.59
2022-12-23 19:00:00,19.96,48.31,46.55
2022-12-23 19:15:00,19.75,49.05,50.30
2022-12-23 19:30:00,19.61,48.05,45.49
2022-12-23 19:45:00,19.59,47.78,52.01
2022-12-23 20:00:00,19.68,47.78,44.81
2022-12-23 20:15:00,19.59,49.18,47.47
2022-12-23 20:30:01,19.84,50.50,51.30
2022-12-23 20:45:00,19.79,51.56,48.40
2022-12-23 21:00:00,20.10,51.97,47.27
2022-12-23 21:15:00,20.06,52.89,48.86
2022-12-23 21:30:00,20.05,53.62,51.73
2022-12-23 21:45:00,19.78,54.68,45.40
2022-12-23 22:00:00,19.80,55.39,48.05
2022-12-23 22:15:01,19.90,55.75,45.96
2022-12-23 22:30:00,19.93,56.18,45.07
2022-12-23 22:45:00,19.98,56.26,45.16
2022-12-23 23:00:00,19.99,56.52,42.79
2022-12-23 23:15:00,20.10,56.36,51.47
2022-12-23 23:30:00,20.07,56.82,48.27
2022-12-23 23:45:00,20.05,57.17,53.39
2022-12-24 00:00:01,20.10,57.28,48.88
2022-12-24 00:15:00,20.12,57.64,53.73
2022-12-24 00:30:00,20.09,57.82,46.79
2022-12-24 00:45:00,19.88,58.18,54.15
2022-12-24 01:00:01,19.96,58.48,48.82
2022-12-24 01:15:00,19.97,58.79,49.77
2022-12-24 01:30:00,19.98,58.98,51.88
2022-12-24 01:45:00,19.95,59.42,49.69
2022-12-24 02:00:00,20.01,59.25,51.64
2022-12-24 02:15:00,19.85,59.85,45.70
2022-12-24 02:30:00,19.85,59.87,49.60
2022-12-24 02:45:01,19.73,60.24,51.06
2022-12-24 03:00:00,19.76,60.40,51.21
2022-12-24 03:15:00,19.91,59.92,46.70
2022-12-24 03:30:00,19.74,60.71,51.39
2022-12-24 03:45:00,19.81,60.57,51.08
2022-12-24 04:00:00,19.70,61.19,49.56
2022-12-24 04:15:00,19.78,61.00,45.44
2022-12-24 04:30:01,19.70,61.18,48.40
2022-12-24 04:45:00,19.62,61.44,49.06
2022-12-24 05:00:00,19.50,61.71,52.54
2022-12-24 05:15:00,19.41,62.19,52.52
2022-12-24 05:30:00,19.52,61.60,49.38
2022-12-24 05:45:00,19.48,61.74,45.12
2022-12-24 06:00:00,19.45,61.89,42.75
2022-12-24 06:15:01,19.35,62.16,49.12
2022-12-24 06:30:00,19.38,61.91,46.51
2022-12-24 06:45:00,19.11,61.93,49.27
2022-12-24 07:00:00,18.87,60.47,50.62
2022-12-24 07:15:00,18.83,58.68,50.97
2022-12-24 07:30:00,18.80,59.29,49.03
2022-12-24 07:45:00,18.79,59.63,49.23
2022-12-24 08:00:01,18.76,59.50,48.14
2022-12-24 08:15:00,18.84,59.58,48.84
2022-12-24 08:30:00,18.81,59.15,47.53
2022-12-24 08:45:00,18.79,59.45,51.21
2022-12-24 09:00:00,19.90,54.27,19.68
2022-12-24 10:45:00,18.61,57.89,46.88
2022-12-24 11:00:00,19.90,48.88,53.87
2022-12-24 11:15:00,20.57,44.88,55.11
2022-12-24 11:30:01,20.95,44.53,50.84
2022-12-24 11:45:00,21.39,38.01,51.80
2022-12-24 12:00:00,22.03,35.34,48.77
2022-12-24 12:15:00,25.55,31.12,47.12
2022-12-24 12:30:00,25.31,30.24,51.38
2022-12-24 12:45:00,23.88,32.21,46.92
2022-12-24 13:00:00,23.35,29.39,46.88
2022-12-24 13:15:01,23.20,30.72,49.23
2022-12-24 13:45:00,20.65,33.24,44.11
2022-12-24 14:00:01,20.40,36.06,48.30
2022-12-24 14:15:00,20.51,35.68,47.75
2022-12-24 14:30:00,20.61,35.42,41.74
2022-12-24 14:45:00,20.67,35.15,42.31
2022-12-24 15:00:00,20.73,35.06,46.71
2022-12-24 15:15:00,20.74,34.51,41.40
2022-12-24 15:30:00,20.72,34.57,46.75
2022-12-24 15:45:01,20.71,34.79,46.18
2022-12-24 16:00:00,21.51,33.96,47.25
2022-12-24 16:15:00,21.03,34.90,42.70
2022-12-24 16:30:00,20.89,34.32,49.30
2022-12-24 16:45:00,21.17,34.60,49.29
2022-12-24 17:00:00,20.97,35.09,50.17
2022-12-24 17:15:00,20.67,36.38,44.62
2022-12-24 17:30:01,20.29,38.02,45.90
2022-12-24 17:45:00,20.05,36.74,48.51
2022-12-24 18:00:00,19.86,38.53,53.65
2022-12-24 18:15:01,19.65,39.15,48.05
2022-12-24 18:30:00,19.47,40.24,49.80
2022-12-24 18:45:00,19.15,42.21,47.16
2022-12-24 19:00:00,18.56,45.15,52.26
2022-12-24 19:15:01,18.32,45.98,53.00
2022-12-24 19:30:00,18.07,47.18,50.86
2022-12-24 19:45:00,17.76,48.52,48.75
2022-12-24 20:00:00,17.69,47.63,49.90
2022-12-24 20:15:00,17.72,47.66,48.05
2022-12-24 20:30:00,17.75,49.13,56.72
2022-12-24 20:45:00,17.56,49.67,56.82
2022-12-24 21:00:01,17.25,51.71,53.58
2022-12-24 21:15:00,17.14,51.34,46.51
2022-12-24 21:30:00,17.15,51.52,51.27
2022-12-24 21:45:00,17.28,50.40,49.47
2022-12-24 22:00:01,17.48,49.59,52.69
2022-12-24 22:15:00,17.44,49.68,48.01
2022-12-24 22:30:00,17.33,49.73,47.82
2022-12-24 22:45:00,17.24,49.90,53.52
2022-12-24 23:00:00,17.18,50.23,46.73
2022-12-24 23:15:00,17.12,50.37,49.99
2022-12-24 23:30:00,17.02,50.58,54.04
2022-12-24 23:45:01,16.92,50.95,48.53
2022-12-25 00:00:00,16.81,51.16,50.88
2022-12-25 00:15:00,16.67,51.59,46.81
2022-12-25 00:30:00,16.55,51.85,55.11
2022-12-25 00:45:00,16.50,51.94,51.17
2022-12-25 01:00:00,16.44,52.03,51.64
2022-12-25 01:15:00,16.37,52.29,48.25
2022-12-25 01:30:01,16.27,52.51,50.60
2022-12-25 01:45:00,16.23,52.53,48.67
2022-12-25 02:00:00,16.21,52.62,48.12
2022-12-25 02:15:00,16.16,53.10,50.15
2022-12-25 02:30:00,16.06,53.19,49.56
2022-12-25 02:45:00,15.89,53.28,49.49
2022-12-25 03:00:00,15.70,53.34,50.30
2022-12-25 03:15:01,15.54,53.66,46.01
2022-12-25 03:30:00,15.62,54.35,53.86
2022-12-25 03:45:00,15.68,54.64,50.38
2022-12-25 04:00:00,15.85,55.00,49.69
2022-12-25 04:15:00,15.91,55.20,50.17
2022-12-25 04:30:00,16.03,55.53,48.56
2022-12-25 04:45:00,16.02,55.61,48.86
2022-12-25 05:00:01,16.00,55.62,47.60
2022-12-25 05:15:00,15.87,55.99,43.37
2022-12-25 05:30:00,15.68,55.80,47.44
2022-12-25 05:45:00,15.54,55.15,47.25
2022-12-25 06:00:00,15.50,55.15,43.96
2022-12-25 06:15:00,15.27,54.93,46.29
2022-12-25 06:30:00,15.07,54.89,53.73
2022-12-25 06:45:01,15.00,54.94,49.71
2022-12-25 07:00:00,15.18,55.46,44.05
2022-12-25 07:15:00,15.11,56.39,49.60
